X Coordinate, Y Coordinate, Z Coordinate
1631.6654,225.9919,-5.5143,
1672.6176,266.6576,-76.2000,
1631.6654,225.9919,-5.5143,
1631.8186,225.8344,-5.5132,
1672.6176,266.6576,-76.2000,
1631.8186,225.8344,-5.5132,
1631.9768,225.6819,-5.5147,
1672.6176,266.6576,-76.2000,
1672.6176,266.6576,-76.2000,
1631.9768,225.6819,-5.5147,
1672.8157,266.4648,-76.2000,
1631.9768,225.6819,-5.5147,
1632.0059,225.6550,-5.5153,
1672.8157,266.4648,-76.2000,
1672.8157,266.4648,-76.2000,
1632.0059,225.6550,-5.5153,
1673.0190,266.2776,-76.2000,
1632.0059,225.6550,-5.5153,
1632.1400,225.5344,-5.5190,
1673.0190,266.2776,-76.2000,
1632.1400,225.5344,-5.5190,
1632.3081,225.3919,-5.5260,
1673.0190,266.2776,-76.2000,
1673.0190,266.2776,-76.2000,
1632.3081,225.3919,-5.5260,
1673.2275,266.0958,-76.2000,
1632.3081,225.3919,-5.5260,
1632.4277,225.2958,-5.5325,
1673.2275,266.0958,-76.2000,
1673.2275,266.0958,-76.2000,
1632.4277,225.2958,-5.5325,
1673.4413,265.9197,-76.2000,
1632.4277,225.2958,-5.5325,
1632.4812,225.2543,-5.5357,
1673.4413,265.9197,-76.2000,
1632.4812,225.2543,-5.5357,
1632.6593,225.1216,-5.5482,
1673.4413,265.9197,-76.2000,
1632.6593,225.1216,-5.5482,
1632.8425,224.9940,-5.5634,
1673.4413,265.9197,-76.2000,
1673.4413,265.9197,-76.2000,
1632.8425,224.9940,-5.5634,
1673.6599,265.7492,-76.2000,
1632.8425,224.9940,-5.5634,
1632.8799,224.9690,-5.5667,
1673.6599,265.7492,-76.2000,
1673.6599,265.7492,-76.2000,
1632.8799,224.9690,-5.5667,
1673.8834,265.5846,-76.2000,
1632.8799,224.9690,-5.5667,
1633.0308,224.8714,-5.5813,
1673.8834,265.5846,-76.2000,
1633.0308,224.8714,-5.5813,
1633.2242,224.7537,-5.6020,
1673.8834,265.5846,-76.2000,
1673.8834,265.5846,-76.2000,
1633.2242,224.7537,-5.6020,
1674.1117,265.4258,-76.2000,
1633.2242,224.7537,-5.6020,
1633.3613,224.6752,-5.6180,
1674.1117,265.4258,-76.2000,
1674.1117,265.4258,-76.2000,
1633.3613,224.6752,-5.6180,
1674.3446,265.2729,-76.2000,
1633.3613,224.6752,-5.6180,
1633.4230,224.6411,-5.6256,
1674.3446,265.2729,-76.2000,
1633.4230,224.6411,-5.6256,
1633.6268,224.5336,-5.6520,
1674.3446,265.2729,-76.2000,
1633.6268,224.5336,-5.6520,
1633.8362,224.4313,-5.6812,
1674.3446,265.2729,-76.2000,
1674.3446,265.2729,-76.2000,
1633.8362,224.4313,-5.6812,
1674.5824,265.1260,-76.2000,
1633.8362,224.4313,-5.6812,
1633.8713,224.4148,-5.6863,
1674.5824,265.1260,-76.2000,
1674.5824,265.1260,-76.2000,
1633.8713,224.4148,-5.6863,
1674.8243,264.9851,-76.2000,
1633.8713,224.4148,-5.6863,
1634.0508,224.3342,-5.7133,
1674.8243,264.9851,-76.2000,
1634.0508,224.3342,-5.7133,
1634.2709,224.2422,-5.7484,
1674.8243,264.9851,-76.2000,
1674.8243,264.9851,-76.2000,
1634.2709,224.2422,-5.7484,
1675.0708,264.8504,-76.2000,
1634.2709,224.2422,-5.7484,
1634.4091,224.1884,-5.7715,
1675.0708,264.8504,-76.2000,
1675.0708,264.8504,-76.2000,
1634.4091,224.1884,-5.7715,
1675.3214,264.7219,-76.2000,
1634.4091,224.1884,-5.7715,
1634.4966,224.1557,-5.7864,
1675.3214,264.7219,-76.2000,
1634.4966,224.1557,-5.7864,
1634.7279,224.0745,-5.8275,
1675.3214,264.7219,-76.2000,
1675.3214,264.7219,-76.2000,
1634.7279,224.0745,-5.8275,
1675.5763,264.5996,-76.2000,
1634.7279,224.0745,-5.8275,
1634.9650,223.9989,-5.8716,
